,url,name,state,image_url,endangered,threatened,description
0,https://ecos.fws.gov/ecp/species/6039,Piping Plover,Minnesota,https://ecos.fws.gov/docs/species_images/doc3770-250px-thumbnail.jpg,Endangered,Threatened,"General InformationSize: 18 cm (7.25 in) in length. Color: Breeding season: Pale brown above, lighter below; black band across forehead; bill orange with black tip; legs orange; white rump. Male: Complete or incomplete black band encircles the body at the breast. Female: Paler head band; incomplete breast band. Winter coloration: Bill black; all birds lack breast band and head band.The species historical range included Alabama, Colorado, Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Hampshire, New Jersey, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, Puerto Rico, Rhode Island, South Carolina, South Dakota, Texas, Virginia, Virgin Islands, Wisconsin, Wyoming. See below for information about where the species is known or believed to occur."
1,https://ecos.fws.gov/ecp/species/1864,rufa red knot,Minnesota,https://ecos.fws.gov/docs/species_images/doc3682-250px-thumbnail.jpg,,Threatened,"General InformationLength: 25-28 cm. Adults in spring: Above finely mottled with grays, black and light ochre, running into stripes on crown; throat, breast and sides of head cinnamon-brown; dark gray line through eye; abdomen and undertail coverts white; uppertail coverts white, barred with black. Adults in winter: Pale ashy gray above, from crown to rump, with feathers on back narrowly edged with white; underparts white, the breast lightly streaked and speckled, and the flanks narrowly barred with gray. Adults in autumn: Underparts of some individuals show traces of the ""red"" of spring. 
The species historical range included Alabama, Arkansas, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Hampshire, New Jersey, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, Puerto Rico, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Vermont, Virginia, Virgin Islands, West Virginia, Wisconsin, Wyoming. See below for information about where the species is known or believed to occur."
2,https://ecos.fws.gov/ecp/species/758,Whooping crane,Minnesota,https://ecos.fws.gov/docs/species_images/doc3703-250px-thumbnail.jpg,Endangered,,"General InformationThe whooping crane occurs only in North America and is North Americas tallest bird, with males approaching 1.5 m (5 ft) when standing erect. The whooping crane adult plumage is snowy white except for black primaries, black or grayish alula (specialized feathers attached to the upper leading end of the wing), sparse black bristly feathers on the carmine crown and malar region (side of the head from the bill to the angle of the jaw), and a dark gray-black wedge-shaped patch on the nape.  The common name ""whooping crane"" probably originated from the loud, single-note vocalization given repeatedly by the birds when they are alarmed. Whooping cranes are a long-lived species; current estimates suggest a maximum longevity in the wild of at least 30 years.

Whooping cranes currently exist in the wild at 3 locations and in captivity at 12 sites. The July 2010 total wild population was estimated at 383.  There is only one self-sustaining wild population, the Aransas-Wood Buffalo National Park population, which nests in Wood Buffalo National Park and adjacent areas in Canada, and winters in coastal marshes in Texas at Aransas.  In addition, there is a small captive-raised, non-migratory population in central Florida, and a small migratory population of individuals introduced beginning in 2001 that migrate between Wisconsin and Florida in an eastern migratory population. The last remaining wild bird in the reintroduced Rocky Mountain Population died in the spring of 2002. The captive population contained 152 birds in July, 2010, with annual production from the Calgary Zoo, International Crane Foundation, Patuxent Wildlife Research Center, Audubon Species Survival Center, and the San Antonio Zoo. The total population of wild and captive whooping cranes in July, 2010, was 535.
The species historical range included Alabama, Arkansas, Colorado, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Mexico, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, West Virginia, Wisconsin, Wyoming. See below for information about where the species is known or believed to occur."
3,https://ecos.fws.gov/ecp/species/5428,Higgins eye (pearlymussel),Minnesota,https://ecos.fws.gov/docs/species_images/doc4903-250px-thumbnail.jpg,Endangered,,"General InformationThe Higgins eye is a freshwater mussel of larger rivers where it is usually found in areas with deep water and moderate currents. Its range includes the upper Mississippi River, the St. Croix River between Minnesota and Wisconsin, the Wisconsin River in Wisconsin, and the lower Rock River between Illinois and Iowa.The species historical range included Illinois, Iowa, Minnesota, Missouri, Nebraska, Wisconsin. See below for information about where the species is known or believed to occur."
4,https://ecos.fws.gov/ecp/species/6903,Sheepnose Mussel,Minnesota,https://ecos.fws.gov/docs/species_images/doc4925-250px-thumbnail.jpg,Endangered,,"General InformationShell surface: Many low, wide bumps run in a single file line down the outer shell surface, from the beak (the swelling above the point where the 2 shell halves join) to the opposite shell edge. The rest of the shell surface is smooth (without bumps), and looks slightly pressed-in from the beak to the shell edge (similar to the pressed-in mark the length of your finger would make on wet clay), parallel to the row of bumps. Young mussels may have 2 raised ridges (one on either side of the pressed-in mark).The species historical range included Alabama, Illinois, Indiana, Iowa, Kansas, Kentucky, Minnesota, Mississippi, Missouri, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia, Wisconsin. See below for information about where the species is known or believed to occur."
5,https://ecos.fws.gov/ecp/species/4135,Snuffbox mussel,Minnesota,https://ecos.fws.gov/docs/species_images/doc7096-250px-thumbnail.jpg,Endangered,,"General InformationThe snuffbox is a small- to medium-sized mussel, with males reaching up to 2.8 in (7.0 cm) in length (Cummings and Mayer 1992, p. 162; Parmalee and Bogan 1998, p. 108).  The maximum length of females is about 1.8 in (4.5 cm) (Parmalee and Bogan 1998, p. 108).  The shape of the shell is somewhat triangular (females), oblong, or ovate (males), with the valves solid, thick, and very inflated.  The beaks are located somewhat anterior of the middle, and are swollen, turned forward and inward, and extended above the hingeline (Cummings and Mayer 1992, p. 162).  Beak sculpture consists of three or four faint, double-looped bars (Cummings and Mayer 1992, p. 162; Parmalee and Bogan 1998, p. 108).  The anterior end of the shell is rounded, and the posterior end is truncated, highly so in females.  The posterior ridge is prominent, being high and rounded, while the posterior slope is widely flattened.  The posterior ridge and slope in females is covered with fine ridges and grooves, and the posterioventral shell edge is finely toothed (Cummings and Mayer 1992, p. 162).  The ventral margin is slightly rounded in males and nearly straight in females.  Females have recurved denticles (downward curved tooth-like structures) on the posterior shell margin that aid in holding host fish (Barnhart 2008, p. 1).  The periostracum (external shell surface) is generally smooth and yellowish or yellowish-green in young individuals, becoming darker with age.  Green, squarish, triangular, or chevron-shaped marks cover the umbone (the inflated area of the shell along the dorsal margin), but become poorly delineated stripes with age.  Internally, the left valve has two high, thin, triangular, emarginate pseudocardinal teeth (the front tooth being thinner than the back tooth) and two short, strong, slightly curved, and finely striated lateral teeth.  The right valve has a high, triangular pseudocardinal tooth with a single short, erect, and heavy lateral tooth.  The interdentum (a flattened area between the pseudocardinal and lateral teeth) is absent, and the beak cavity is wide and deep.  The color of the nacre is white, often with a silvery luster, and a gray-blue or gray-green tinge in the beak cavity.  Key characters useful for distinguishing the snuffbox from other species include its unique color pattern, shape (especially in females), and high degree of inflation.  

The species historical range included Alabama, Arkansas, Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Mississippi, Missouri, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia, Wisconsin. See below for information about where the species is known or believed to occur."
6,https://ecos.fws.gov/ecp/species/7867,Spectaclecase (mussel),Minnesota,,Endangered,,"General InformationThe species historical range included Alabama, Arkansas, Illinois, Indiana, Iowa, Kansas, Kentucky, Minnesota, Missouri, Nebraska, Ohio, Tennessee, Virginia, West Virginia, Wisconsin. See below for information about where the species is known or believed to occur."
7,https://ecos.fws.gov/ecp/species/4127,Winged Mapleleaf,Minnesota,https://ecos.fws.gov/docs/species_images/doc5128-250px-thumbnail.jpg,Endangered,,"General InformationThe species historical range included Alabama, Illinois, Indiana, Iowa, Kentucky, Minnesota, Missouri, Nebraska, Ohio, Oklahoma, Tennessee, Wisconsin. See below for information about where the species is known or believed to occur."
8,https://ecos.fws.gov/ecp/species/4122,Topeka shiner,Minnesota,https://ecos.fws.gov/docs/species_images/doc5108-250px-thumbnail.jpg,Endangered,,"General InformationThe species historical range included Iowa, Kansas, Minnesota, Missouri, Nebraska, South Dakota. See below for information about where the species is known or believed to occur."
9,https://ecos.fws.gov/ecp/species/601,Eastern prairie fringed orchid,Minnesota,https://ecos.fws.gov/docs/species_images/doc5080-250px-thumbnail.jpg,,Threatened,"General InformationThis plant is 8 to 40 inches tall and has an upright leafy stem with a flower cluster called an inflorescence. The 3 to 8 inch lance-shaped leaves sheath the stem. Each plant has one single flower spike composed of 5 to 40 white flowers. Each flower has a three-part fringed lip less than 1 inch long and a nectar spur (tube-like structure) which is about 1 to 2 inches long.The eastern prairie fringed orchid occurs in a wide variety of habitats, from mesic prairie to wetlands such as sedge meadows, marsh edges, even bogs. It requires full sun for optimum growth and flowering and a grassy habitat with little or no woody encroachment. A symbiotic relationship between the seed and soil fungi, called mycorrhizae, is necessary for seedlings to become established. This fungi helps the seeds assimilate nutrients in the soil.The species historical range included Arkansas, Illinois, Indiana, Iowa, Maine, Michigan, Missouri, Nebraska, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Virginia, Wisconsin. See below for information about where the species is known or believed to occur."
